id_cliente,nome_cliente,email
1,Bob da Silva,joao.silva@example.com
2,Maria Oliveira,maria.oliveira@example.com
3,Carlos Souza,carlos.souza@example.com
4,Ana Lima,ana.lima@example.com
5,Pedro Rocha,pedro.rocha@example.com
6,Fernanda Alves,fernanda.alves@example.com
7,Roberto Fernandes,roberto.fernandes@example.com
8,Juliana Carvalho,juliana.carvalho@example.com
9,Marcos Martins,marcos.martins@example.com
10,Paula Ramos,paula.ramos@example.com
11,Ricardo Gonçalves,ricardo.goncalves@example.com
12,Adriana Costa,adriana.costa@example.com
13,Fábio Santos,fabio.santos@example.com
14,Luciana Pereira,luciana.pereira@example.com
15,Rodrigo Almeida,rodrigo.almeida@example.com
16,Beatriz Ferreira,beatriz.ferreira@example.com
17,Gustavo Moura,gustavo.moura@example.com
18,Patrícia Nunes,patricia.nunes@example.com
19,Felipe Barbosa,felipe.barbosa@example.com
20,Carolina Mendes,carolina.mendes@example.com
21,Leandro Teixeira,leandro.teixeira@example.com
22,Aline Duarte,aline.duarte@example.com
23,Marcelo Batista,marcelo.batista@example.com
24,Sofia Ribeiro,sofia.ribeiro@example.com
25,Renato Cardoso,renato.cardoso@example.com
